1	ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	4	nsubj	_	@yad1986m-words#@yad1986m#2341.18#2341.507
2	был	быть	VERB	_	Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	4	cop	_	@yad1986m-words#@yad1986m#2341.507#2341.834
3	на	на	ADP	_	_	4	case	_	@yad1986m-words#@yad1986m#2341.834#2342.161
4	интервью	интервью	NOUN	_	Animacy=Inan|Case=Loc|Gender=Neut|Number=Sing	0	root	_	@yad1986m-words#@yad1986m#2342.161#2342.488
5	ууу	у	ADP	_	_	4	iobj	_	@yad1986m-words#@yad1986m#2342.488#2342.815
6	мм	ммм	INTJ	_	_	5	nmod	_	@yad1986m-words#@yad1986m#2342.815#2343.142
7	/	/	PUNCT	_	_	8	punct	_	@yad1986m-words#@yad1986m#2343.142#2343.469
8	Романова	Романов	PROPN	_	Animacy=Anim|Case=Gen|Gender=Masc|Number=Sing	6	nmod	_	@yad1986m-words#@yad1986m#2343.469#2343.796
9	/	/	PUNCT	_	_	11	punct	_	@yad1986m-words#@yad1986m#2343.796#2344.123
10	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	11	nsubj	_	@yad1986m-words#@yad1986m#2344.123#2344.45
11	зашел	зайти	VERB	_	Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	4	parataxis	_	@yad1986m-words#@yad1986m#2344.45#2344.777
12	в	в	ADP	_	_	13	case	_	@yad1986m-words#@yad1986m#2344.777#2345.104
13	комментарии	комментарий	NOUN	_	Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing	11	obl	_	@yad1986m-words#@yad1986m#2345.104#2345.431
14	/	/	PUNCT	_	_	20	punct	_	@yad1986m-words#@yad1986m#2345.431#2345.758
15	и	и	CCONJ	_	_	20	cc	_	@yad1986m-words#@yad1986m#2345.758#2346.085
16	/	/	PUNCT	_	_	20	punct	_	@yad1986m-words#@yad1986m#2346.085#2346.412
17	там	там	ADV	_	Degree=Pos	20	advmod	_	@yad1986m-words#@yad1986m#2346.412#2346.739
