# newdoc
# newpar
# sent_id = 1
1	ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	4	nsubj	_	_
2	был	быть	AUX	_	Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	4	cop	_	_
3	на	на	ADP	_	_	4	case	_	_
4	интервью	интервью	NOUN	_	Animacy=Inan|Case=Loc|Gender=Neut|Number=Sing	0	root	_	_
5	ууу	ууа	NOUN	_	Animacy=Inan|Case=Dat|Gender=Neut|Number=Sing	4	iobj	_	_
6	мм	мм	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing	5	nmod	_	_
7	/	/	PUNCT	_	_	8	punct	_	_
8	Романова	Романов	PROPN	_	Animacy=Anim|Case=Gen|Gender=Masc|Number=Sing	6	nmod	_	_
9	/	/	PUNCT	_	_	11	punct	_	_
10	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	11	nsubj	_	_
11	зашел	зайти	VERB	_	Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	4	parataxis	_	_
12	в	в	ADP	_	_	13	case	_	_
13	комментарии	комментарий	NOUN	_	Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing	11	obl	_	_
14	/	/	PUNCT	_	_	20	punct	_	_
15	и	и	CCONJ	_	_	20	cc	_	_
16	/	/	PUNCT	_	_	20	punct	_	_
17	там	там	ADV	_	Degree=Pos	20	advmod	_	_
18	человек	человек	NOUN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing	20	nsubj	_	_
19	просто	просто	PART	_	_	20	advmod	_	_
20	озвучил	озвучить	VERB	_	Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	11	conj	_	_
21	мои	мой	DET	_	Case=Nom|Number=Plur	22	det	_	_
22	мысли	мысль	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Plur	41	nsubj	_	_
23	/	/	PUNCT	_	_	22	punct	_	_
24	так	так	ADV	_	Degree=Pos	41	advmod	_	_
25	/	/	PUNCT	_	_	29	punct	_	_
26	и	и	PART	_	_	29	cc	_	_
27	не	не	PART	_	_	29	advmod	_	_
28	был	быть	AUX	_	Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	29	aux:pass	_	_
29	задан	задать	VERB	_	Aspect=Perf|Gender=Masc|Number=Sing|Tense=Past|Variant=Short|VerbForm=Part|Voice=Pass	24	conj	_	_
30	вопрос	вопрос	NOUN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing	29	nsubj:pass	_	_
31	/	/	PUNCT	_	_	32	punct	_	_
32	аа	а	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing	30	nmod	_	_
33	/	/	PUNCT	_	_	35	punct	_	_
34	сколько	сколько	NUM	_	_	35	nummod:gov	_	_
35	дней	день	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Plur	32	nmod	_	_
36	/	/	PUNCT	_	_	39	punct	_	_
37	после	после	ADP	_	_	39	case	_	_
38	своих	свой	DET	_	Case=Gen|Number=Plur	39	det	_	_
39	стендапов	стендап	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Plur	35	nmod	_	_
40	Сабурову	Сабуров	PROPN	_	Animacy=Anim|Case=Dat|Gender=Masc|Number=Sing	39	iobj	_	_
41	прихоится	прихоиться	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid	20	advcl	_	_
42	спать	спать	VERB	_	Aspect=Imp|VerbForm=Inf|Voice=Act	41	xcomp	_	_
43	на	на	ADP	_	_	44	case	_	_
44	диване	диван	NOUN	_	Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing	42	obl	_	_
45	ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	42	obj	_	_
46	жестко	жестко	ADV	_	Degree=Pos	50	advmod	_	_
47	/	/	PUNCT	_	_	48	punct	_	_
48	фигачишь	фигачишь	PART	_	_	46	parataxis	_	_
49	/	/	PUNCT	_	_	48	punct	_	_
50	свою	свой	DET	_	Case=Acc|Gender=Fem|Number=Sing	45	det	_	_
51	/	/	PUNCT	_	_	52	punct	_	_
52	жену	жена	NOUN	_	Animacy=Anim|Case=Acc|Gender=Fem|Number=Sing	45	appos	_	_
53	у	у	ADP	_	_	54	case	_	_
54	Нурлана	Нурлан	PROPN	_	Animacy=Anim|Case=Gen|Gender=Masc|Number=Sing	52	nmod	_	_
55	кстати	кстати	ADV	_	Degree=Pos	59	advmod	_	_
56	красотка	красотка	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	59	nsubj	_	_
57	жена	жена	NOUN	_	Animacy=Anim|Case=Nom|Gender=Fem|Number=Sing	56	nmod	_	_
58	/	/	PUNCT	_	_	57	punct	_	_
59	можете	мочь	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	41	parataxis	_	_
60	посмотреть	смотреть	VERB	_	Aspect=Perf|VerbForm=Inf|Voice=Act	59	xcomp	_	_
61	на	на	ADP	_	_	65	case	_	_
62	вот	вот	PART	_	_	63	advmod	_	_
63	эти	этот	DET	_	Case=Acc|Number=Plur	65	det	_	_
64	все	весь	DET	_	Case=Acc|Number=Plur	65	det	_	_
65	фотографии	фотография	NOUN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Plur	60	obl	_	_
66	ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	69	nsubj	_	_
67	просто	просто	PART	_	_	68	advmod	_	_
68	жестко	жестко	ADV	_	Degree=Pos	69	advmod	_	_
69	фигачишь	фигачать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	4	conj	_	_
70	её	она	PRON	_	Case=Acc|Gender=Fem|Number=Sing|Person=3	69	obj	_	_
71	/	/	PUNCT	_	_	73	punct	_	_
72	про	про	ADP	_	_	73	case	_	_
73	то	то	PRON	_	Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing	70	acl	_	_
74	что	что	PRON	_	Case=Acc	76	obj	_	_
75	ей	она	PRON	_	Case=Dat|Gender=Fem|Number=Sing|Person=3	76	iobj	_	_
76	делали	делать	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act	60	xcomp	_	_
77	пересадку	пересадка	NOUN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing	76	obj	_	_
78	мозга	мозг	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing	77	nmod	_	_
79	/	/	PUNCT	_	_	76	punct	_	_
80	про	про	ADP	_	_	81	case	_	_
81	то	то	PRON	_	Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing	76	obl	_	_
82	что	что	SCONJ	_	_	81	fixed	_	_
83	она	она	PRON	_	Case=Nom|Gender=Fem|Number=Sing|Person=3	84	nsubj	_	_
84	недалекая	недалекой	ADJ	_	Case=Nom|Degree=Pos|Gender=Fem|Number=Sing	81	acl	_	_
85	/	/	PUNCT	_	_	84	punct	_	_
86	совершенно	совершенно	ADV	_	Degree=Pos	87	obl	_	_
87	чудовищные	чудовищный	ADJ	_	Case=Nom|Degree=Pos|Number=Plur	100	nsubj	_	_
88	если	если	SCONJ	_	_	91	mark	_	_
89	бы	бы	AUX	_	_	91	aux	_	_
90	феминистки	феминистка	NOUN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Plur	91	nsubj	_	_
91	смотрели	смотреть	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act	100	advcl	_	_
92	твои	твой	DET	_	Case=Acc|Number=Plur	93	det	_	_
93	стендапы	стендап	NOUN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Plur	91	obj	_	_
94	они	они	PRON	_	Case=Nom|Number=Plur|Person=3	97	nsubj	_	_
95	бы	бы	AUX	_	_	97	aux	_	_
96	просто	просто	PART	_	_	97	advmod	_	_
97	тебя	ты	PRON	_	Case=Acc|Number=Sing|Person=2	91	obj	_	_
98	из	из	ADP	_	_	99	case	_	_
99	говномета	говномет	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing	91	obl	_	_
100	расстреляли	расстрелять	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act	84	conj	_	_
101	бы	бы	AUX	_	_	100	aux	_	_
102	/	/	PUNCT	_	_	105	punct	_	_
103	за	за	ADP	_	_	105	case	_	_
104	мм	миллиметр	ADJ	_	Animacy=Inan|Case=Acc|Degree=Pos|Gender=Masc|Number=Sing	105	amod	_	_
105	панч	панч	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	111	obl	_	_
106	/	/	PUNCT	_	_	111	punct	_	_
107	про	про	ADP	_	_	111	parataxis	_	_
108	/	/	PUNCT	_	_	107	punct	_	_
109	как-то	как-то	ADV	_	Degree=Pos	111	advmod	_	_
